City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kapaa,22.0752,-159.319,78.78,92,0,13.8,US,1651383925
1,ixtapa,20.7,-105.2,68.14,64,99,2.62,MX,1651383926
2,dingle,10.9995,122.6711,88.41,55,100,12.75,PH,1651383926
3,visby,57.6409,18.296,45.05,65,100,4.61,SE,1651383927
4,thompson,55.7435,-97.8558,30.36,80,100,10.36,CA,1651383927
5,tasiilaq,65.6145,-37.6368,30.36,48,19,6.4,GL,1651383928
6,rikitea,-23.1203,-134.9692,76.64,75,95,10.98,PF,1651383928
7,mataura,-46.1927,168.8643,52.48,100,100,1.14,NZ,1651383929
8,atuona,-9.8,-139.0333,78.53,80,7,12.15,PF,1651383929
9,bethel,41.3712,-73.414,47.48,67,0,0.0,US,1651383930
10,ilulissat,69.2167,-51.1,12.22,57,2,1.14,GL,1651383854
11,albany,42.6001,-73.9662,42.58,66,4,3.44,US,1651383854
12,kodiak,57.79,-152.4072,40.51,87,100,25.32,US,1651383930
13,shimoda,34.6667,138.95,61.16,87,100,6.24,JP,1651383931
14,dongsheng,39.8161,109.9776,61.79,13,9,22.53,CN,1651383931
15,campbell river,50.0163,-125.2446,49.53,91,15,0.96,CA,1651383932
16,zima,53.9202,102.0442,74.86,22,73,10.07,RU,1651383915
17,vardo,70.3705,31.1107,29.21,73,88,17.31,NO,1651383933
18,tiksi,71.6872,128.8694,33.94,98,100,14.38,RU,1651383933
19,alamogordo,32.8995,-105.9603,65.44,17,75,11.5,US,1651383933
20,constitucion,-35.3333,-72.4167,50.29,65,0,5.84,CL,1651383763
21,east london,-33.0153,27.9116,61.74,59,0,10.36,ZA,1651383934
22,yellowknife,62.456,-114.3525,30.72,64,0,5.75,CA,1651383935
23,avarua,-21.2078,-159.775,77.05,88,86,2.3,CK,1651383935
24,severo-kurilsk,50.6789,156.125,36.73,87,76,8.63,RU,1651383936
25,qaanaaq,77.484,-69.3632,2.93,68,16,8.43,GL,1651383936
26,burnie,-41.0667,145.9167,65.91,80,97,15.03,AU,1651383937
27,hilo,19.7297,-155.09,74.93,89,75,6.91,US,1651383937
28,hithadhoo,-0.6,73.0833,85.1,70,57,13.06,MV,1651383938
29,busselton,-33.65,115.3333,69.26,57,2,7.92,AU,1651383938
30,punta arenas,-53.15,-70.9167,41.11,86,100,9.64,CL,1651383808
31,port alfred,-33.5906,26.891,58.17,76,52,3.0,ZA,1651383939
32,vaini,-21.2,-175.2,80.76,89,75,8.05,TO,1651383939
33,eureka,40.8021,-124.1637,52.93,85,83,5.99,US,1651383940
34,castro,-24.7911,-50.0119,56.12,96,57,2.82,BR,1651383941
35,ushuaia,-54.8,-68.3,44.26,65,40,20.71,AR,1651383871
36,cape town,-33.9258,18.4232,61.92,79,0,8.05,ZA,1651383819
37,merauke,-8.4667,140.3333,81.3,84,100,10.67,ID,1651383941
38,nanortalik,60.1432,-45.2371,36.36,95,83,2.66,GL,1651383942
39,dedza,-14.3779,34.3332,60.37,60,0,3.71,MW,1651383942
40,binzhou,37.3667,118.0167,78.39,13,0,16.64,CN,1651383943
41,zarubino,42.63,131.0922,49.24,52,71,6.8,RU,1651383943
42,hastings,50.8552,0.5729,50.79,74,100,5.61,GB,1651383944
43,chokurdakh,70.6333,147.9167,24.75,91,73,9.55,RU,1651383944
44,damaturu,11.747,11.9608,84.11,48,97,7.38,NG,1651383945
45,mount gambier,-37.8333,140.7667,66.11,68,40,19.57,AU,1651383945
46,puerto ayora,-0.7393,-90.3518,70.99,94,41,7.09,EC,1651383946
47,tuatapere,-46.1333,167.6833,55.04,96,100,1.39,NZ,1651383946
48,saskylakh,71.9167,114.0833,15.24,89,100,15.82,RU,1651383947
49,madang,-5.2246,145.7966,84.27,71,92,5.86,PG,1651383947
50,hobart,-42.8794,147.3294,67.86,62,75,19.57,AU,1651383906
